Start;End;Sleep Quality;Regularity;Mood;Steps;Air Pressure (Pa);City;Movements per hour;Time in bed (seconds);Window start;Window stop;Did snore;Snore time;Weather temperature (°F);Weather type;Notes
2021-10-26 22:43:17;2021-10-27 09:12:59;69%;84%;Bad;0;101.69;Mễ Trì;81.221176;37782.69;21-10-27 08:53:13;21-10-27 09:17:00;false;0;67 ;Sunny;
2021-10-27 23:55:50;2021-10-28 08:42:32;88%;84%;Bad;0;101.6;Mễ Trì;51.790672;31601.668;21-10-28 08:04:03;21-10-28 08:30:00;false;0;72 ;Cloudy;
2021-10-28 23:30:37;2021-10-29 08:30:31;95%;87%;OK;0;101.67;Mễ Trì;44.494087;32393.474;21-10-29 08:05:42;21-10-29 08:30:00;false;0;70 ;Rain;
2021-10-29 22:59:51;2021-10-30 08:01:29;100%;90%;OK;0;;Mễ Trì;36.227352;32497.869;21-10-30 08:14:05;21-10-30 08:37:00;false;0;;;Good day:Nap
2021-10-30 22:49:06;2021-10-31 07:55:03;92%;94%;OK;0;;;48.34011;32757.034;21-10-31 07:28:31;21-10-31 07:52:00;false;0;;;
2021-10-31 23:22:32;2021-11-01 08:27:26;86%;93%;OK;0;;Mễ Trì;57.357826;32694.445;21-11-01 08:22:17;21-11-01 08:47:00;false;0;69 ;;Headache
2021-11-02 22:03:07;2021-11-03 08:17:33;97%;89%;OK;0;;;42.14616;36865.929;21-11-03 08:07:20;21-11-03 08:32:00;false;0;;;
2021-11-03 22:40:28;2021-11-04 08:32:08;88%;90%;OK;0;101.35;Mễ Trì;54.06447;35500.065;21-11-04 08:14:48;21-11-04 08:37:00;true;62;70 ;Sunny;
2021-11-04 22:09:44;2021-11-05 08:37:53;82%;93%;OK;0;101.1;Mễ Trì;63.56759;37688.531;21-11-05 08:28:15;21-11-05 08:52:00;false;0;74 ;Cloudy;
2021-11-05 22:04:11;2021-11-06 08:30:08;93%;95%;Good;0;100.78;Mễ Trì;47.488583;37557.625;21-11-06 08:00:14;21-11-06 08:27:00;false;0;74 ;Cloudy;
2021-11-06 23:44:43;2021-11-07 09:57:28;87%;88%;Bad;0;100.86;Mễ Trì;56.632687;36765.174;21-11-07 09:24:26;21-11-07 09:47:00;true;1676;75 ;Cloudy;
2021-11-07 22:55:25;2021-11-08 08:20:46;100%;83%;Bad;0;102.14;Mễ Trì;34.859787;33920.314;21-11-08 07:55:16;21-11-08 08:20:00;false;0;63 ;Cloudy;Tea
2021-11-08 22:36:34;2021-11-09 08:05:24;98%;82%;Bad;0;102.1;Mễ Trì;41.163494;34130.651;21-11-09 07:35:06;21-11-09 08:02:00;false;0;60 ;Fair;
2021-11-09 23:50:00;2021-11-10 08:47:41;94%;86%;OK;0;102.19;Mễ Trì;45.522274;32261.445;21-11-10 08:47:50;21-11-10 09:10:00;false;0;59 ;Fair;
2021-11-10 23:48:59;2021-11-11 08:24:53;96%;91%;OK;0;101.83;Mỹ Đình;36.78749;30954.012;21-11-11 08:01:08;21-11-11 08:25:00;false;0;59 ;Fair;
2021-11-11 23:51:58;2021-11-12 08:15:51;99%;92%;Bad;0;101.9;Mễ Trì;29.615665;30232.939;21-11-12 07:46:12;21-11-12 08:12:00;false;0;62 ;Fair;
2021-11-12 22:37:59;2021-11-13 08:36:03;93%;93%;Bad;0;102.03;Mễ Trì;46.456;35884.846;21-11-13 08:06:21;21-11-13 08:32:00;false;0;66 ;Cloudy;Tea
2021-11-13 22:44:30;2021-11-14 08:25:01;100%;94%;OK;0;101.88;Mỹ Đình;36.41546;34830.358;21-11-14 07:58:08;21-11-14 08:25:00;false;0;62 ;Cloudy;
2021-11-14 23:49:46;2021-11-15 09:05:38;86%;89%;Good;0;101.590004;Mễ Trì;56.73361;33352.321;21-11-15 08:51:14;21-11-15 09:15:00;false;0;63 ;Cloudy;
2021-11-16 00:35:49;2021-11-16 10:08:45;95%;89%;OK;0;101.78;;43.74021;34375.992;21-11-16 09:50:44;21-11-16 10:15:00;false;0;70 ;Rain;
2021-11-17 21:11:50;2021-11-18 07:35:26;100%;67%;OK;0;;Mỹ Đình;33.772705;37416.33;21-11-18 07:24:43;21-11-18 07:47:00;false;0;;;
2021-11-18 21:57:00;2021-11-19 08:03:35;100%;70%;Good;0;;;24.750526;36394.979;21-11-19 07:55:45;21-11-19 08:22:00;false;0;;;
2021-11-20 07:39:05;2021-11-20 10:25:43;12%;0%;Bad;0;;;154.35892;9998.102;21-11-20 10:02:26;21-11-20 10:25:00;false;0;;;
2021-11-20 21:31:55;2021-11-21 07:25:02;96%;90%;Good;0;;;43.325096;35586.753;21-11-21 07:01:11;21-11-21 07:25:00;false;0;;;
2021-11-21 20:23:48;2021-11-22 07:20:33;92%;90%;OK;0;;;49.719803;39405.726;21-11-22 07:18:17;21-11-22 07:42:00;false;0;;;Tea
2021-11-22 21:45:41;2021-11-23 07:52:31;97%;87%;OK;0;;;41.916687;36409.943;21-11-23 07:29:57;21-11-23 07:52:00;false;0;;;
2021-11-23 23:18:24;2021-11-24 07:49:17;87%;86%;OK;0;;;49.698906;30653.433;21-11-24 08:24:54;21-11-24 08:47:00;false;0;;;
2021-11-24 21:34:18;2021-11-25 08:19:09;89%;84%;OK;0;;;55.15922;38690.355;21-11-25 07:53:56;21-11-25 08:17:00;true;195;;;
2021-11-26 22:17:53;2021-11-27 07:59:00;99%;86%;OK;0;;;37.87666;34867.384;21-11-27 07:48:46;21-11-27 08:12:00;false;0;;;
2021-11-28 00:01:16;2021-11-28 09:26:12;94%;82%;Good;0;102.06;Mỹ Đình;51.913025;33895.97;21-11-28 08:59:42;21-11-28 09:22:00;false;0;60 ;Sunny;
2021-11-28 21:59:10;2021-11-29 08:40:08;89%;75%;OK;0;101.89;Mỹ Đình;54.569477;38458.07;21-11-29 08:07:07;21-11-29 08:32:00;true;930;65 ;Cloudy;Tea
2021-11-29 21:54:07;2021-11-30 07:19:43;94%;79%;OK;0;;Mỹ Đình;63.987946;33936.044;21-11-30 07:13:21;21-11-30 07:40:00;true;61;;;
2021-11-30 22:24:51;2021-12-01 06:58:35;94%;85%;OK;0;102.29;Mỹ Đình;44.157207;30823.903;21-12-01 07:21:27;21-12-01 07:45:00;false;0;61 ;Cloudy;
2021-12-01 22:29:29;2021-12-02 08:45:46;85%;88%;OK;0;102.21;Xuan Phuong;71.20952;36976.584;21-12-02 08:18:03;21-12-02 08:42:00;true;1465;53 ;Cloudy;
2021-12-02 21:24:53;2021-12-03 06:58:45;96%;84%;OK;0;102.28;Mỹ Đình;46.34715;34431.625;21-12-03 06:47:14;21-12-03 07:10:00;false;0;53 ;Sunny;
2021-12-03 23:11:43;2021-12-04 08:55:42;67%;76%;Bad;0;102.240005;Mỹ Đình;260.6176;35039.194;21-12-04 08:28:19;21-12-04 08:52:00;false;0;52 ;Sunny;
2021-12-04 21:07:50;2021-12-05 08:44:50;83%;75%;OK;0;;Mỹ Đình;148.33179;41820.26;21-12-05 08:15:53;21-12-05 08:42:00;false;0;55 ;;
2021-12-05 21:03:03;2021-12-06 08:02:40;95%;81%;OK;0;102.03;Mỹ Đình;53.131413;39577.123;21-12-06 08:00:56;21-12-06 08:27:00;false;0;55 ;Sunny;
2021-12-06 20:54:57;2021-12-07 05:24:08;80%;83%;Bad;0;;;166.48349;30550.679;21-12-07 08:42:26;21-12-07 09:07:00;false;0;;;
2021-12-07 19:44:36;2021-12-08 06:51:30;99%;82%;OK;0;;;40.880432;40014.107;21-12-08 06:20:30;21-12-08 06:47:00;true;67;;;
2021-12-09 22:40:05;2021-12-10 07:19:17;90%;74%;OK;0;;;91.31022;31151.568;21-12-10 07:20:40;21-12-10 07:45:00;false;0;;;Stressful day
2021-12-11 22:04:44;2021-12-12 07:05:55;97%;93%;OK;0;;;66.68365;32471.505;21-12-12 06:38:20;21-12-12 07:05:00;false;0;;;
2021-12-13 23:29:22;2021-12-14 08:06:07;98%;79%;OK;0;;;34.44258;31004.945;21-12-14 07:40:58;21-12-14 08:05:00;false;0;;;
2021-12-14 19:01:45;2021-12-15 05:26:35;85%;60%;OK;0;;;132.34734;37490.352;21-12-15 04:58:28;21-12-15 05:22:00;true;1185;;;
2021-12-15 22:16:57;2021-12-16 06:47:32;95%;51%;OK;0;;;45.941162;30635.316;21-12-16 06:41:16;21-12-16 07:05:00;false;0;;;
2021-12-16 21:31:22;2021-12-17 07:27:59;99%;63%;Bad;0;;;53.36488;35796.967;21-12-17 07:16:40;21-12-17 07:42:00;false;0;;;
2021-12-17 20:55:05;2021-12-18 05:47:36;86%;76%;Bad;0;;;115.99315;31950.995;21-12-18 05:15:05;21-12-18 05:42:00;true;151;;;
2021-12-20 21:39:37;2021-12-21 06:31:28;90%;87%;OK;0;;;92.89864;31910.565;21-12-21 06:02:50;21-12-21 06:27:00;true;695;;;
2021-12-21 21:05:17;2021-12-22 05:48:57;98%;89%;Bad;0;;;41.935844;31420.162;21-12-22 05:23:30;21-12-22 05:47:00;false;0;;;
2021-12-22 21:35:58;2021-12-23 05:36:35;87%;91%;OK;0;;;60.034306;28837.0;21-12-23 05:29:38;21-12-23 05:55:00;true;102;;;
2021-12-23 19:07:20;2021-12-24 04:20:27;92%;84%;Bad;0;;;85.82304;33187.206;21-12-24 03:53:56;21-12-24 04:17:00;true;218;;;
2021-12-24 19:46:48;2021-12-25 04:26:12;81%;85%;OK;0;;;126.1124;31163.765;21-12-25 04:01:46;21-12-25 04:25:00;false;0;;;
2021-12-25 20:22:10;2021-12-26 04:26:12;96%;85%;OK;0;;;15.599913;29041.4;21-12-26 03:59:26;21-12-26 04:25:00;false;0;;;
2021-12-26 19:23:25;2021-12-27 04:28:54;95%;93%;OK;0;101.37;Thành phố Tây Ninh;73.57793;32728.818;21-12-27 04:11:09;21-12-27 04:37:00;false;0;75 ;Sunny;
